1,2,3,4,5
State,Downtown Crossing,Park Street,Maverick,Government Center
Downtown Crossing,Park Street,State,South Station,Andrew
Downtown Crossing,Park Street,State,South Station,North Station
Downtown Crossing,Park Street,State,Haymarket,South Station
Downtown Crossing,Park Street,State,South Station,Haymarket
Downtown Crossing,Park Street,State,South Station,Kendall/MIT
Park Street,Downtown Crossing,State,South Station,Kendall/MIT
Park Street,Downtown Crossing,State,Government Center,North Station
Park Street,State,Government Center,Downtown Crossing,Aquarium
