OCCURRED_ON_DATE,Lat,Long,Merged_Offense_Group,TIME,TIME_PERIOD
2022-03-28 23:55:00,42.29443702474892,-71.08816895433763,M/V related offenses,23:55:00,LATE_EVENING
2022-03-28 23:59:00,42.29903802453816,-71.05780291741436,Vandalism and Disorderly Conduct,23:59:00,LATE_EVENING
2022-03-28 23:05:00,42.29686162363138,-71.08584182950716,Drugs and Alcohol,23:05:00,LATE_EVENING
2022-03-28 22:41:00,42.28866198405271,-71.0613052399456,Drugs and Alcohol,22:41:00,LATE_EVENING
2022-03-28 22:07:00,42.348643886538426,-71.15284571203047,M/V related offenses,22:07:00,LATE_EVENING
2022-03-28 22:09:00,42.351705713874026,-71.11989955508469,Theft and Robbery,22:09:00,LATE_EVENING
2022-03-25 22:00:00,42.29755532959655,-71.05970910242574,M/V related offenses,22:00:00,LATE_EVENING
2022-03-25 22:30:00,42.33088295801339,-71.10691002431956,Vandalism and Disorderly Conduct,22:30:00,LATE_EVENING
2022-03-23 23:05:00,42.24577749734768,-71.11807599934578,Theft and Robbery,23:05:00,LATE_EVENING
2022-03-23 23:00:00,42.29755532959655,-71.05970910242574,Theft and Robbery,23:00:00,LATE_EVENING
2022-03-23 23:55:00,42.27839920113053,-71.06636305093119,Public Disturbances & Law Enforcement Actions,23:55:00,LATE_EVENING
2022-03-23 22:59:00,42.29648528688923,-71.05968306473817,Public Disturbances & Law Enforcement Actions,22:59:00,LATE_EVENING
2022-03-23 23:10:00,42.3530111865124,-71.13261450756816,Firearms and Weapons,23:10:00,LATE_EVENING
2022-03-23 22:31:00,42.29600750541133,-71.08387509148848,Public Disturbances & Law Enforcement Actions,22:31:00,LATE_EVENING
2022-03-23 22:25:00,42.352370727241,-71.07227172514538,Public Disturbances & Law Enforcement Actions,22:25:00,LATE_EVENING
2022-03-23 22:33:00,42.27934900658949,-71.08284803714024,Theft and Robbery,22:33:00,LATE_EVENING
2022-03-22 23:25:00,42.31915262768709,-71.07189822391513,Public Disturbances & Law Enforcement Actions,23:25:00,LATE_EVENING
2022-03-22 23:11:00,42.25489549376408,-71.12017680223008,Theft and Robbery,23:11:00,LATE_EVENING
2022-03-22 23:04:00,42.33117798964968,-71.07700797530124,M/V related offenses,23:04:00,LATE_EVENING
2022-03-22 22:24:00,42.36552998463411,-71.06120001005544,M/V related offenses,22:24:00,LATE_EVENING
2022-03-22 22:22:00,42.350877947212,-71.16036469455184,Public Disturbances & Law Enforcement Actions,22:22:00,LATE_EVENING
2022-03-22 22:07:00,42.33201285064138,-71.09598981964692,Vandalism and Disorderly Conduct,22:07:00,LATE_EVENING
2022-03-22 22:10:00,42.27615691256162,-71.09550303038291,Public Disturbances & Law Enforcement Actions,22:10:00,LATE_EVENING
2022-03-21 23:30:00,42.28482576580488,-71.09137368938802,M/V related offenses,23:30:00,LATE_EVENING
2022-03-21 23:30:00,42.29755532959655,-71.05970910242574,M/V related offenses,23:30:00,LATE_EVENING
2022-03-21 23:00:00,42.34905600030506,-71.15049849975023,Theft and Robbery,23:00:00,LATE_EVENING
2022-03-21 23:01:00,42.28508808723223,-71.08789462339874,Drugs and Alcohol,23:01:00,LATE_EVENING
2022-03-21 23:00:00,42.34598862230432,-71.10477650186479,Public Disturbances & Law Enforcement Actions,23:00:00,LATE_EVENING
2022-03-21 23:01:00,42.35892278751083,-71.05835354440549,Drugs and Alcohol,23:01:00,LATE_EVENING
2022-03-21 22:04:00,42.29767279342345,-71.04941017639025,Theft and Robbery,22:04:00,LATE_EVENING
2022-03-21 22:40:00,42.30664080466999,-71.08584976430885,M/V related offenses,22:40:00,LATE_EVENING
2022-03-21 22:39:00,42.33930997103642,-71.08032001996342,M/V related offenses,22:39:00,LATE_EVENING
2022-03-21 22:01:00,42.27051329046605,-71.11988863076165,Drugs and Alcohol,22:01:00,LATE_EVENING
2022-03-11 22:00:00,42.25621592040216,-71.12401947329023,Theft and Robbery,22:00:00,LATE_EVENING
2022-03-18 23:55:00,42.32419503100172,-71.08879401564333,Drugs and Alcohol,23:55:00,LATE_EVENING
2022-03-18 23:12:00,42.29944215455068,-71.08489748232856,Public Disturbances & Law Enforcement Actions,23:12:00,LATE_EVENING
2022-03-18 23:01:00,42.28847730816141,-71.07193442004224,Drugs and Alcohol,23:01:00,LATE_EVENING
2022-03-18 23:20:00,42.27242131494865,-71.0739564819727,Vandalism and Disorderly Conduct,23:20:00,LATE_EVENING
2022-03-18 22:24:00,42.30829668289329,-71.0674777122447,Public Disturbances & Law Enforcement Actions,22:24:00,LATE_EVENING
2022-03-18 22:15:00,42.28508040093799,-71.09700320693915,M/V related offenses,22:15:00,LATE_EVENING
2022-03-18 23:04:00,42.31249706318521,-71.05731757088084,Firearms and Weapons,23:04:00,LATE_EVENING
2022-03-18 22:02:00,42.33067130168313,-71.05547577131706,M/V related offenses,22:02:00,LATE_EVENING
2022-03-18 22:13:00,42.33349998017161,-71.07350999617319,M/V related offenses,22:13:00,LATE_EVENING
2022-03-18 22:00:00,42.37656997148285,-71.06580996450342,Theft and Robbery,22:00:00,LATE_EVENING
2022-03-17 22:00:00,42.351400414121024,-71.06480285246184,Assault and Violence,22:00:00,LATE_EVENING
2022-03-17 22:30:00,42.29755532959655,-71.05970910242574,M/V related offenses,22:30:00,LATE_EVENING
2022-03-17 23:05:00,42.287093552591074,-71.14822128377166,M/V related offenses,23:05:00,LATE_EVENING
2022-03-17 23:57:00,42.30468252220293,-71.0562786467743,Public Disturbances & Law Enforcement Actions,23:57:00,LATE_EVENING
2022-03-17 22:50:00,42.35624901546548,-71.06227102011543,Assault and Violence,22:50:00,LATE_EVENING
2022-03-17 22:55:00,42.33533906769404,-71.02715964246099,Theft and Robbery,22:55:00,LATE_EVENING
2022-03-17 22:23:00,42.286226433248906,-71.08378254368918,Public Disturbances & Law Enforcement Actions,22:23:00,LATE_EVENING
2022-03-17 22:34:00,42.33032600300943,-71.05825603753351,Drugs and Alcohol,22:34:00,LATE_EVENING
2022-03-17 22:31:00,42.38258001722301,-71.03184167433263,Drugs and Alcohol,22:31:00,LATE_EVENING
2022-01-21 22:45:00,42.34548055306418,-71.14046685169822,Public Disturbances & Law Enforcement Actions,22:45:00,LATE_EVENING
2022-03-10 22:30:00,42.309718567672746,-71.10429431787648,Theft and Robbery,22:30:00,LATE_EVENING
2022-03-16 23:28:00,42.34749697044495,-71.10176304908964,M/V related offenses,23:28:00,LATE_EVENING
2022-03-16 23:37:00,42.352370727241,-71.07227172514538,Drugs and Alcohol,23:37:00,LATE_EVENING
2022-03-16 23:01:00,42.360381725171216,-71.06285768482353,Public Disturbances & Law Enforcement Actions,23:01:00,LATE_EVENING
2022-03-16 22:16:00,42.376110300161145,-71.05644068005864,Drugs and Alcohol,22:16:00,LATE_EVENING
2022-03-15 23:15:00,42.34128750439044,-71.05467932649397,Vandalism and Disorderly Conduct,23:15:00,LATE_EVENING
