Station_Name,Lon,Lat,Station_ID,Passenger_Volume,Nearest_Police_Distance,Nearest_Fire_Distance,Nearest_Hospital_Distance,Betweenness Centrality,Crime_Index,Base_Attractiveness_Score_LATE_EVENING
Englewood Avenue,-71.14562033,42.33697749,41,0.003481,0.158296,0.116048,0.100856,0.030287,0.05601,0.10365888699999998
Fairbanks Street,-71.13119299,42.33966169,42,0.023499,0.128136,0.189729,0.099268,0.146025,0.035397,0.11723966799999999
Fenwood Road,-71.10591282,42.33361684,44,0.02611,0.04609,0.069179,0.038427,0.117902,0.19165,0.067679346
Fenway,-71.10428785,42.34535725,43,0.022918,0.102076,0.122152,0.06791,0.327745,0.153317,0.11251441200000001
Government Center,-71.05939847,42.3595251,47,0.308094,0.025531,0.05682,0.076407,0.306111,0.847231,0.1809229
Griggs Street,-71.1346331,42.34871462,49,0.046707,0.101196,0.075322,0.085723,0.22715,0.154472,0.099062608
Haymarket,-71.0578155,42.36211976,53,0.579054,0.017137,0.05712,0.084562,0.25311,0.706984,0.20293226599999997
Harvard Avenue,-71.13143807,42.35023368,51,0.057441,0.119005,0.078667,0.116837,0.25311,0.166077,0.112484209
Heath Street,-71.11032827,42.32827237,54,0.0,0.095978,0.142936,0.087996,0.0,0.124639,0.089051241
Hawes Street,-71.11145938,42.34480603,52,0.044386,0.10802,0.169111,0.094346,0.303407,0.057041,0.11903474800000001
Hynes Convention Center,-71.08734707,42.34799493,55,0.238758,0.018814,0.027857,0.155427,0.827474,0.493225,0.157771315
Kenmore,-71.09563663,42.34895474,59,0.059182,0.064142,0.074761,0.124047,0.99324,0.234559,0.14183338699999998
Kent Street,-71.11435736,42.34400885,60,0.043516,0.084915,0.181901,0.068626,0.278529,0.041926,0.10877106500000001
Boston College,-71.16696675,42.34020153,15,0.0,0.068775,0.15937,0.21486,0.0,0.017109,0.074406047
Wood Island,-71.022898,42.379609,113,0.063824,0.050546,0.077499,0.417803,0.146025,0.046981,0.07490677
Wonderland,-70.9916,42.413643,112,0.020598,0.192066,0.368391,0.804622,0.0,0.000153,0.19331320899999999
Assembly,-71.077276,42.392737,8,0.099217,0.217956,0.135194,0.35401,0.089237,0.005645,0.153256454
Back Bay,-71.075566,42.347403,10,0.376559,0.049833,0.065333,0.111291,0.200649,0.672481,0.180260052
Community College,-71.069684,42.37368,34,0.151146,0.198238,0.13791,0.356834,0.146025,0.099261,0.167259152
Chinatown,-71.062396,42.352638,31,0.339426,0.089856,0.102114,0.054566,0.25311,0.936901,0.228470505
Downtown Crossing,-71.060171,42.354933,39,1.0,0.085994,0.089117,0.088686,0.686858,1.0,0.36203341199999994
Forest Hills,-71.113972,42.30069,46,0.0,0.110831,0.085992,0.072855,0.0,0.06859,0.075133822
Green Street,-71.107548,42.310395,48,0.078329,0.032831,0.069601,0.08636,0.030287,0.160018,0.06336191299999999
Jackson Square,-71.099783,42.323115,56,0.174064,0.118373,0.046369,0.0859,0.089237,0.277287,0.123428812
Mass Ave,-71.083553,42.341516,65,0.380911,0.071718,0.096576,0.124767,0.173607,0.532935,0.181792082
Malden Center,-71.07429,42.426844,64,0.013635,0.242367,0.51419,0.729877,0.030287,6e-06,0.24775872699999998
Oak Grove,-71.071099,42.43668,74,0.003191,0.232572,0.538437,0.770508,0.0,1e-06,0.24726963500000002
Roxbury Crossing,-71.095475,42.331335,87,0.262837,0.051854,0.078872,0.097506,0.117902,0.270522,0.119557658
Ruggles,-71.089407,42.336646,88,0.292138,0.050731,0.093477,0.142376,0.146025,0.347376,0.138151267
Stony Brook,-71.104196,42.317229,98,0.117784,0.079569,0.110912,0.074774,0.060032,0.216561,0.10597613499999999
State,-71.057329,42.358718,97,0.376559,0.05268,0.072164,0.100008,0.3245,0.800495,0.20349915899999999
Sullivan Square,-71.076999,42.384263,100,0.136931,0.211864,0.304996,0.249337,0.117902,0.022859,0.19841257699999998
Tufts Medical Center,-71.063917,42.349661,105,0.353351,0.069635,0.080069,0.019312,0.22715,0.726002,0.192792328
Wellington,-71.077145,42.401668,110,0.066435,0.297095,0.330484,0.554316,0.060032,0.001003,0.230974727
Airport,-71.030238,42.374328,1,0.124456,0.05985,0.102138,0.443418,0.173607,0.116563,0.10381196399999999
Aquarium,-71.05159,42.359793,5,0.140122,0.071644,0.050167,0.129839,0.22715,0.432868,0.125587488
Beachmont,-70.992505,42.397202,12,0.036844,0.078826,0.161335,0.65534,0.060032,0.002979,0.09934373900000001
Bowdoin,-71.062038,42.361365,19,0.0,0.024629,0.033158,0.051808,0.0,0.708691,0.092518665
Maverick,-71.039536,42.369128,66,0.138671,0.031531,0.011993,0.324404,0.200649,0.240782,0.08380041900000001
Orient Heights,-71.004836,42.386939,75,0.055991,0.193873,0.048477,0.53801,0.117902,0.035247,0.125564939
Revere Beach,-70.992528,42.407864,84,0.029591,0.105324,0.263055,0.765711,0.030287,0.000504,0.134646207
Suffolk Downs,-70.997122,42.390501,99,0.038004,0.140976,0.095116,0.586497,0.089237,0.014575,0.10990751
Alewife,-71.142478,42.395426,2,0.034813,0.330628,0.489502,0.570223,0.0,7.8e-05,0.27483043999999995
Andrew,-71.057656,42.330153,4,0.684943,0.126373,0.091525,0.15068,0.278529,0.300212,0.23406137300000002
Ashmont,-71.063744,42.284454,7,0.0,0.136842,0.034573,0.055773,0.0,0.186795,0.084999731
Broadway,-71.056946,42.342573,24,0.728169,0.08144,0.061437,0.139893,0.303407,0.361628,0.222818491
Braintree,-71.001234,42.207267,21,0.0,1.0,1.0,1.0,0.0,0.0,0.6779999999999999
Charles/MGH,-71.070525,42.361137,28,0.484479,0.051265,0.044171,0.039409,0.173607,0.334188,0.154268027
Central,-71.103591,42.365325,27,0.357122,0.142727,0.203574,0.259205,0.117902,0.008575,0.17925578699999997
Davis,-71.121816,42.396748,37,0.092834,0.124906,0.436659,0.528165,0.030287,4.2e-05,0.18794135099999998
Fields Corner,-71.061852,42.299941,45,0.16275,0.085543,0.120053,0.244842,0.060032,0.446086,0.146133256
Harvard,-71.11896,42.37337,50,0.279373,0.235327,0.262863,0.359108,0.089237,0.003493,0.219625456
JFK/Umass,-71.052364,42.320605,57,0.312446,0.199497,0.092612,0.144263,0.258518,0.159826,0.18944438799999996
Kendall/MIT,-71.086225,42.36224,58,0.423847,0.097646,0.130923,0.136241,0.146025,0.066693,0.158082412
North Quincy,-71.030152,42.275791,71,0.24282,0.286152,0.190406,0.329032,0.117902,0.001847,0.21778898700000002
Porter,-71.119147,42.388388,79,0.139542,0.191137,0.376881,0.440278,0.060032,0.000203,0.207247379
Quincy Adams,-71.007153,42.233391,81,0.043226,0.682863,0.671843,0.658842,0.030287,0.0,0.46831890099999995
Quincy Center,-71.005502,42.251991,82,0.099797,0.536796,0.449762,0.598662,0.060032,1e-06,0.36404768899999995
Savin Hill,-71.053332,42.311253,92,0.267769,0.164971,0.10586,0.094224,0.089237,0.163436,0.160149427
Shawmut,-71.065803,42.293129,94,0.113722,0.070245,0.086068,0.159269,0.030287,0.3105,0.105745031
South Station,-71.055105,42.351877,95,0.742385,0.145679,0.143945,0.22284,0.327745,0.506512,0.289971253
Wollaston,-71.020514,42.266769,111,0.184508,0.375055,0.282399,0.424669,0.089237,0.000105,0.267860266
