Station_Name,Lon,Lat,Station_ID,Passenger_Volume,Nearest_Police_Distance,Nearest_Fire_Distance,Nearest_Hospital_Distance,Betweenness Centrality,Crime_Index,Base_Attractiveness_Score_PM_PEAK
Allston Street,-71.13801669,42.3487252,3,0.018928,0.079182,0.092122,0.06416,0.200649,0.154328,0.08752225699999999
Arlington,-71.07096127,42.35182125,6,0.280393,0.035221,0.030237,0.07694,0.862628,0.588035,0.181331849
Babcock Street,-71.12183062,42.35184066,9,0.043334,0.025522,0.099424,0.175708,0.303407,0.066879,0.071636544
Back of the Hill,-71.11100533,42.32943019,11,0.002597,0.086186,0.134153,0.077463,0.030287,0.115627,0.083965292
Beaconsfield,-71.14058364,42.33580371,13,0.037322,0.159901,0.157114,0.102582,0.22715,0.03559,0.12955228800000002
Washington Square,-71.13480835,42.33951239,108,0.010424,0.111743,0.166863,0.075498,0.117902,0.044509,0.10150937500000001
Blandford Street,-71.10009323,42.34922874,14,0.051517,0.111079,0.123328,0.120817,0.44132,0.164363,0.13053807899999997
Brandon Hall,-71.12883419,42.34002244,22,0.01601,0.099117,0.215556,0.146733,0.173607,0.031984,0.11312677099999999
Boylston,-71.0645968,42.3529858,20,0.282634,0.053313,0.076632,0.039758,0.861547,0.844517,0.22560566199999998
Packards Corner,-71.12531664,42.35174607,76,0.039065,0.110463,0.086939,0.154754,0.278529,0.101118,0.104018947
Brookline Hills,-71.12645639,42.33128544,25,0.041555,0.052635,0.217465,0.164076,0.25311,0.011923,0.101929207
Brigham Circle,-71.10436652,42.3343322,23,0.014302,0.035088,0.057795,0.077699,0.146025,0.21002,0.063277167
Boston University Central,-71.1071882,42.35007803,16,0.05134,0.085278,0.16386,0.111271,0.397512,0.065898,0.11671057800000001
Boston University East,-71.10431551,42.34972697,17,0.051838,0.136807,0.149951,0.148494,0.419686,0.097909,0.14013910700000004
Boston University West,-71.11336671,42.35082318,18,0.050841,0.069795,0.176727,0.145313,0.374797,0.033551,0.10966430600000002
Brookline Village,-71.11690393,42.33258766,26,0.044295,0.047255,0.19171,0.080863,0.278529,0.044034,0.09646240499999999
Chestnut Hill,-71.16461742,42.32675787,29,0.02768,0.201771,0.282335,0.342697,0.173607,0.003144,0.175530453
Chestnut Hill Avenue,-71.15288409,42.33835138,30,0.002206,0.150793,0.064815,0.09789,0.060032,0.066991,0.09086026699999998
Chiswick Road,-71.15099675,42.34059152,32,0.0037,0.133852,0.053143,0.074561,0.089237,0.091692,0.08503226299999998
Cleveland Circle,-71.14899951,42.33623061,33,0.0,0.176631,0.09155,0.144355,0.0,0.057008,0.104134312
Copley,-71.07740165,42.35007244,36,0.170064,0.056506,0.072238,0.121331,1.0,0.680404,0.20188503600000002
Coolidge Corner,-71.12130073,42.34216468,35,0.020991,0.106826,0.187731,0.100194,0.22715,0.028962,0.111977156
Dean Road,-71.14196716,42.33772891,38,0.005728,0.134867,0.131211,0.075653,0.060032,0.053814,0.0990069
Eliot,-71.21660769,42.31900258,40,0.01843,0.327604,0.528533,0.6183,0.089237,0.0,0.287235215
Englewood Avenue,-71.14562033,42.33697749,41,0.00153,0.158296,0.116048,0.100856,0.030287,0.05601,0.10335062899999997
Fairbanks Street,-71.13119299,42.33966169,42,0.013626,0.128136,0.189729,0.099268,0.146025,0.035397,0.115679734
Fenwood Road,-71.10591282,42.33361684,44,0.012025,0.04609,0.069179,0.038427,0.117902,0.19165,0.065453916
Fenway,-71.10428785,42.34535725,43,0.049916,0.102076,0.122152,0.06791,0.327745,0.153317,0.116780096
Government Center,-71.05939847,42.3595251,47,0.197531,0.025531,0.05682,0.076407,0.306111,0.847231,0.16345394600000002
Griggs Street,-71.1346331,42.34871462,49,0.023019,0.101196,0.075322,0.085723,0.22715,0.154472,0.09531990399999998
Haymarket,-71.0578155,42.36211976,53,0.359519,0.017137,0.05712,0.084562,0.25311,0.706984,0.16824573599999998
Harvard Avenue,-71.13143807,42.35023368,51,0.027716,0.119005,0.078667,0.116837,0.25311,0.166077,0.10778765900000001
Heath Street,-71.11032827,42.32827237,54,0.0,0.095978,0.142936,0.087996,0.0,0.124639,0.089051241
Hawes Street,-71.11145938,42.34480603,52,0.03138,0.10802,0.169111,0.094346,0.303407,0.057041,0.11697980000000001
Hynes Convention Center,-71.08734707,42.34799493,55,0.191447,0.018814,0.027857,0.155427,0.827474,0.493225,0.150296177
Kenmore,-71.09563663,42.34895474,59,0.046536,0.064142,0.074761,0.124047,0.99324,0.234559,0.13983531899999999
Kent Street,-71.11435736,42.34400885,60,0.03074,0.084915,0.181901,0.068626,0.278529,0.041926,0.10675245700000001
Boston College,-71.16696675,42.34020153,15,0.0,0.068775,0.15937,0.21486,0.0,0.017109,0.074406047
Lechmere,-71.07707269,42.37094828,61,0.057779,0.065385,0.152473,0.119045,0.0,0.048242,0.081006814
Longwood Medical Area,-71.09953719,42.33617687,63,0.018501,0.010013,0.035389,0.050789,0.173607,0.225838,0.050846033
Longwood,-71.1099462,42.34170003,62,0.050023,0.087016,0.157999,0.043777,0.303407,0.086684,0.11030395500000001
Museum of Fine Arts,-71.09502125,42.33791763,68,0.023055,0.07214,0.075936,0.12414,0.200649,0.261719,0.09412488799999999
Mission Park,-71.10945509,42.33320176,67,0.007934,0.068274,0.092134,0.035495,0.089237,0.139407,0.07220202999999999
Newton Highlands,-71.20552678,42.32238296,70,0.020493,0.319643,0.460624,0.5477,0.117902,3e-06,0.26765117699999996
Newton Centre,-71.19240201,42.32944447,69,0.024229,0.271184,0.348095,0.430714,0.146025,6.6e-05,0.21968455899999997
North Station,-71.06014973,42.36528274,72,0.312057,0.055588,0.075171,0.056245,0.230395,0.52986,0.160380827
Northeastern University,-71.08969498,42.34005713,73,0.026755,0.066106,0.074835,0.122995,0.22715,0.356779,0.103356855
