Station_Name,Lon,Lat,Station_ID,Passenger_Volume,Nearest_Police_Distance,Nearest_Fire_Distance,Nearest_Hospital_Distance,Betweenness Centrality,Crime_Index,Base_Attractiveness_Score_NIGHT
Sutherland Road,-71.14627236,42.34157797,102,0.015217,0.103452,0.082064,0.041858,0.117902,0.108098,0.08397033
Saint Paul Street C,-71.11726117,42.34320646,91,0.143478,0.085248,0.201486,0.088987,0.25311,0.033287,0.127570227
Saint Paul Street(B),-71.11631147,42.35118253,90,0.052174,0.028438,0.133932,0.140999,0.351541,0.035601,0.081316616
Summit Avenue,-71.12577232,42.3410482,101,0.041304,0.094013,0.210275,0.136297,0.200649,0.030586,0.114976149
Symphony,-71.08485866,42.34268955,103,0.063043,0.034766,0.059777,0.098339,0.25311,0.523354,0.11071001999999999
Tappan Street,-71.13845491,42.33853131,104,0.019565,0.125078,0.18669,0.09611,0.089237,0.049519,0.11253706799999999
Waban,-71.23056452,42.32580887,106,0.008696,0.244466,0.585102,0.67711,0.060032,0.0,0.265331812
Washington Street,-71.14262516,42.34404537,109,0.023913,0.105901,0.115313,0.040459,0.146025,0.134398,0.098774979
Woodland,-71.24336702,42.3329034,114,0.006522,0.18964,0.585577,0.731571,0.030287,0.0,0.242444725
Warren Street,-71.14041885,42.34839892,107,0.03913,0.111466,0.121071,0.043908,0.173607,0.154599,0.10870299800000001
Airport,-71.030238,42.374328,1,0.123913,0.05985,0.102138,0.443418,0.173607,0.116563,0.10372616999999999
Aquarium,-71.05159,42.359793,5,0.143478,0.071644,0.050167,0.129839,0.22715,0.432868,0.12611773599999998
Beachmont,-70.992505,42.397202,12,0.047826,0.078826,0.161335,0.65534,0.060032,0.002979,0.101078895
Bowdoin,-71.062038,42.361365,19,0.0,0.024629,0.033158,0.051808,0.0,0.708691,0.092518665
Maverick,-71.039536,42.369128,66,0.13913,0.031531,0.011993,0.324404,0.200649,0.240782,0.083872941
Orient Heights,-71.004836,42.386939,75,0.06087,0.193873,0.048477,0.53801,0.117902,0.035247,0.126335821
Revere Beach,-70.992528,42.407864,84,0.045652,0.105324,0.263055,0.765711,0.030287,0.000504,0.137183845
Suffolk Downs,-70.997122,42.390501,99,0.05,0.140976,0.095116,0.586497,0.089237,0.014575,0.11180287799999998
State,-71.057329,42.358718,97,0.35,0.05268,0.072164,0.100008,0.3245,0.800495,0.199302837
Wood Island,-71.022898,42.379609,113,0.063043,0.050546,0.077499,0.417803,0.146025,0.046981,0.074783372
Wonderland,-70.9916,42.413643,112,0.043478,0.192066,0.368391,0.804622,0.0,0.000153,0.19692824899999997
Assembly,-71.077276,42.392737,8,0.104348,0.217956,0.135194,0.35401,0.089237,0.005645,0.15406715199999999
Back Bay,-71.075566,42.347403,10,0.43913,0.049833,0.065333,0.111291,0.200649,0.672481,0.19014627
Community College,-71.069684,42.37368,34,0.152174,0.198238,0.13791,0.356834,0.146025,0.099261,0.167421576
Chinatown,-71.062396,42.352638,31,0.371739,0.089856,0.102114,0.054566,0.25311,0.936901,0.233575959
Downtown Crossing,-71.060171,42.354933,39,1.0,0.085994,0.089117,0.088686,0.686858,1.0,0.36203341199999994
Forest Hills,-71.113972,42.30069,46,0.0,0.110831,0.085992,0.072855,0.0,0.06859,0.075133822
Green Street,-71.107548,42.310395,48,0.063043,0.032831,0.069601,0.08636,0.030287,0.160018,0.060946725
Jackson Square,-71.099783,42.323115,56,0.173913,0.118373,0.046369,0.0859,0.089237,0.277287,0.123404954
Mass Ave,-71.083553,42.341516,65,0.452174,0.071718,0.096576,0.124767,0.173607,0.532935,0.193051636
Malden Center,-71.07429,42.426844,64,0.013043,0.242367,0.51419,0.729877,0.030287,6e-06,0.24766519099999998
Oak Grove,-71.071099,42.43668,74,0.002174,0.232572,0.538437,0.770508,0.0,1e-06,0.24710894900000002
Roxbury Crossing,-71.095475,42.331335,87,0.297826,0.051854,0.078872,0.097506,0.117902,0.270522,0.12508592000000002
Ruggles,-71.089407,42.336646,88,0.334783,0.050731,0.093477,0.142376,0.146025,0.347376,0.14488917699999998
Stony Brook,-71.104196,42.317229,98,0.104348,0.079569,0.110912,0.074774,0.060032,0.216561,0.103853247
Sullivan Square,-71.076999,42.384263,100,0.145652,0.211864,0.304996,0.249337,0.117902,0.022859,0.19979049499999998
Tufts Medical Center,-71.063917,42.349661,105,0.38913,0.069635,0.080069,0.019312,0.22715,0.726002,0.19844541
Wellington,-71.077145,42.401668,110,0.073913,0.297095,0.330484,0.554316,0.060032,0.001003,0.23215625099999998
Porter,-71.119147,42.388388,79,0.097826,0.191137,0.376881,0.440278,0.060032,0.000203,0.200656251
Quincy Adams,-71.007153,42.233391,81,0.002174,0.682863,0.671843,0.658842,0.030287,0.0,0.46183268499999997
Quincy Center,-71.005502,42.251991,82,0.045652,0.536796,0.449762,0.598662,0.060032,1e-06,0.355492779
Savin Hill,-71.053332,42.311253,92,0.356522,0.164971,0.10586,0.094224,0.089237,0.163436,0.17417240100000003
Shawmut,-71.065803,42.293129,94,0.026087,0.070245,0.086068,0.159269,0.030287,0.3105,0.091898701
South Station,-71.055105,42.351877,95,0.771739,0.145679,0.143945,0.22284,0.327745,0.506512,0.294609185
Wollaston,-71.020514,42.266769,111,0.126087,0.375055,0.282399,0.424669,0.089237,0.000105,0.258629748
Alewife,-71.142478,42.395426,2,0.017391,0.330628,0.489502,0.570223,0.0,7.8e-05,0.272077764
Andrew,-71.057656,42.330153,4,0.713043,0.126373,0.091525,0.15068,0.278529,0.300212,0.238501173
Ashmont,-71.063744,42.284454,7,0.0,0.136842,0.034573,0.055773,0.0,0.186795,0.084999731
Broadway,-71.056946,42.342573,24,0.754348,0.08144,0.061437,0.139893,0.303407,0.361628,0.22695477300000003
Braintree,-71.001234,42.207267,21,0.0,1.0,1.0,1.0,0.0,0.0,0.6779999999999999
Charles/MGH,-71.070525,42.361137,28,0.404348,0.051265,0.044171,0.039409,0.173607,0.334188,0.141607329
Central,-71.103591,42.365325,27,0.308696,0.142727,0.203574,0.259205,0.117902,0.008575,0.171604479
Davis,-71.121816,42.396748,37,0.065217,0.124906,0.436659,0.528165,0.030287,4.2e-05,0.183577865
Fields Corner,-71.061852,42.299941,45,0.195652,0.085543,0.120053,0.244842,0.060032,0.446086,0.15133177199999998
Harvard,-71.11896,42.37337,50,0.230435,0.235327,0.262863,0.359108,0.089237,0.003493,0.211893252
JFK/Umass,-71.052364,42.320605,57,0.319565,0.199497,0.092612,0.144263,0.258518,0.159826,0.19056918999999997
Kendall/MIT,-71.086225,42.36224,58,0.384783,0.097646,0.130923,0.136241,0.146025,0.066693,0.1519103
North Quincy,-71.030152,42.275791,71,0.178261,0.286152,0.190406,0.329032,0.117902,0.001847,0.20758866499999998
